iter	Passed	Remaining
734	29747	10725
735	29795	10687
736	29837	10647
737	29860	10600
738	29894	10558
739	29932	10516
740	29971	10475
741	30012	10435
742	30054	10395
743	30091	10353
744	30129	10312
745	30157	10268
746	30193	10226
747	30231	10184
748	30266	10142
749	30303	10101
750	30341	10059
751	30381	10019
752	30415	9976
753	30456	9936
754	30503	9898
755	30549	9859
756	30593	9820
757	30628	9778
758	30666	9737
759	30691	9692
760	30729	9650
761	30751	9604
762	30785	9562
763	30819	9520
764	30853	9478
765	30888	9436
766	30940	9399
767	30978	9358
768	31011	9315
769	31050	9274
770	31084	9232
771	31112	9188
772	31141	9145
773	31175	9102
774	31206	9060
775	31252	9021
776	31291	8980
777	31326	8938
778	31355	8895
779	31395	8855
780	31432	8813
781	31467	8772
782	31505	8731
783	31539	8689
784	31581	8649
785	31606	8605
786	31654	8567
787	31688	8525
788	31711	8480
789	31751	8440
790	31797	8401
791	31840	8362
792	31877	8321
793	31914	8280
794	31948	8238
795	31984	8196
796	32018	8155
797	32043	8111
798	32088	8072
799	32128	8032
800	32160	7989
801	32194	7948
802	32233	7907
803	32277	7868
804	32321	7829
805	32358	7788
806	32395	7747
807	32428	7705
808	32447	7660
809	32497	7622
810	32540	7583
811	32575	7542
812	32619	7502
813	32637	7457
814	32667	7415
815	32703	7374
816	32728	7330
817	32766	7290
818	32798	7248
819	32836	7208
820	32874	7167
821	32892	7122
822	32931	7082
823	32972	7042
824	33007	7001
825	33045	6961
826	33082	6920
827	33120	6880
828	33144	6836
829	33183	6796
830	33230	6758
831	33271	6718
832	33306	6677
833	33338	6635
834	33381	6596
835	33422	6556
836	33459	6516
837	33491	6474
838	33530	6434
839	33559	6392
840	33594	6351
841	33633	6311
842	33685	6273
843	33723	6233
844	33764	6193
845	33799	6152
846	33839	6112
847	33881	6073
848	33920	6033
849	33958	5992
850	33999	5952
851	34035	5912
852	34073	5871
853	34111	5831
854	34150	5791
855	34191	5751
856	34233	5712
857	34255	5669
858	34288	5628
859	34331	5588
860	34375	5549
861	34409	5508
862	34447	5468
863	34478	5427
864	34515	5386
865	34548	5345
866	34576	5304
867	34619	5264
868	34669	5226
869	34704	5185
870	34744	5145
871	34779	5105
872	34819	5065
873	34856	5025
874	34886	4983
875	34921	4943
876	34962	4903
877	35001	4863
878	35035	4822
879	35070	4782
880	35096	4740
881	35131	4700
882	35171	4660
883	35212	4620
884	35242	4579
885	35283	4539
886	35320	4499
887	35360	4459
888	35394	4419
889	35428	4378
890	35454	4337
891	35489	4296
892	35526	4256
893	35563	4216
894	35602	4176
895	35641	4136
896	35682	4097
897	35726	4058
898	35761	4017
899	35801	3977
900	35837	3937
901	35879	3898
902	35915	3858
903	35953	3818
904	35993	3778
905	36040	3739
906	36069	3698
907	36102	3657
908	36140	3617
909	36184	3578
910	36225	3539
911	36262	3499
912	36297	3458
913	36342	3419
914	36374	3379
915	36414	3339
916	36454	3299
917	36487	3259
918	36516	3218
919	36561	3179
920	36603	3139
921	36647	3100
922	36687	3060
923	36729	3021
924	36765	2981
925	36806	2941
926	36853	2902
927	36892	2862
928	36929	2822
929	36955	2781
930	36987	2741
931	37018	2700
932	37045	2660
933	37084	2620
934	37113	2580
935	37139	2539
936	37170	2499
937	37204	2459
938	37237	2419
939	37279	2379
940	37310	2339
941	37360	2300
942	37394	2260
943	37430	2220
944	37464	2180
945	37508	2141
946	37549	2101
947	37590	2061
948	37623	2021
949	37660	1982
950	37697	1942
951	37735	1902
952	37775	1863
953	37809	1823
954	37849	1783
955	37891	1743
956	37939	1704
957	37974	1664
958	38010	1625
959	38053	1585
960	38092	1545
961	38128	1506
962	38161	1466
963	38196	1426
964	38238	1386
965	38279	1347
966	38315	1307
967	38357	1268
968	38385	1228
969	38424	1188
970	38474	1149
971	38507	1109
972	38543	1069
973	38578	1029
974	38618	990
975	38656	950
976	38681	910
977	38714	870
978	38749	831
979	38786	791
980	38829	752
981	38866	712
982	38895	672
983	38937	633
984	38971	593
985	39009	553
986	39039	514
987	39068	474
